description,Location
Beacon Street and Ayr St (Tedeschi),"(42.33654692, -71.14878916)"
Bedford St and Kingston St,"(42.35329058, -71.05932127)"
Boston Common (we think),"(42.35529154, -71.06664252)"
Boston Common Tennis Courts,"(42.35380814, -71.06583011)"
Boston Common Tennis Courts (Needs Exact Location),"(42.3537266, -71.0660265)"
Boston Common Tennis Courts (Needs Station Location),"(42.3537266, -71.0660265)"
Boston Commons of Frog Pond,"(42.35625862, -71.06287372)"
Boylston & Charles St (Bulthaup Corp),"(42.35238923, -71.06758938)"
Boylston & Haddash St (4 Seasons Hotel),"(42.35214673, -71.06911114)"
Boylston & Hemenway St (opp Symphony Mart Store),"(42.34681182, -71.08924811)"
Boylston & Mass Ave (Berkley College of Music),"(42.34719456, -71.0875826)"
Boylston & Ring Street - Corner in front of Republic Bank,"(42.34907841, -71.08083237)"
Boylston @ Kilmarnock (NW Corner),"(42.34400075, -71.10014488)"
Boylston and Arlington St (Opp Arlington Church),"(42.35179215, -71.0707406)"
Boylston and Berkeley St - SW Corner (Bank of America),"(42.35116785, -71.07309958)"
Boylston and Clarendon St (Trinity Church),"(42.35062463, -71.07526211)"
Boylston and Dartmouth St (Library Entrance),"(42.34994355, -71.07731053)"
Boylston St (Copley T Station),"(42.3498149, -71.07807363)"
Boylston St (Lord and Taylor Entrance),"(42.3492027, -71.08031759)"
Boylston St (Prudential Entrance),"(42.34854316, -71.08267211)"
Broad St and Surface Rd (across from Panera),"(42.3571755, -71.051634)"
Brookline & Kilmarnock @ Sal's Pizza,"(42.34492057, -71.10090643)"
Brookline Ave & Park Drive @ Landmark Center,"(42.34344916, -71.10255308)"
Brookline Ave and Yawkey Way (SW Corner) @ Souvenir Store,"(42.34669353, -71.09897154)"
Cambridge & North Beacon @ Twin Donut,"(42.35349037, -71.13776316)"
Cambridge and Blosom (Hill Tavern),"(42.36109347, -71.0666692)"
Cambridge and Blosom St (Au Bon Pain),"(42.36127565, -71.06657801)"
Cambridge and Bowdoin,
Cambridge and Joy in front of beacon hill athletic club,"(42.3611127, -71.0650131)"
Cambridge St & Brighton Ave (Across from Twin Donuts),"(42.35333973, -71.13777926)"
Cambridge St & Harvard Ave @ Tattoo Shop,"(42.35543013, -71.13284544)"
Cambridge St & New Sudbury (new federal building),"(42.36108192, -71.06095221)"
Cambridge St (MGH T stop),"(42.3610921, -71.06986766)"
Cambridge St and New Chardon (dunkin doughnuts),"(42.36141985, -71.06307164)"
Cambridge St and No Beacon (Northside of Cambridge),"(42.35370841, -71.13726964)"
Cambridge St and No Grove St,"(42.36123787, -71.06861371)"
Cambridge/Court St (City Hall),"(42.35961345, -71.05965457)"
Causeway & Friend (opp Halftime Pizza),"(42.36507157, -71.06176386)"
Causeway and Haverhill (front of the T Stop),"(42.36578318, -71.06071701)"
Causeway and Washington Street (in front of EPA),"(42.36676305, -71.05865036)"
Centre St & Lamatine St // Power Panel Box,"(42.3228181, -71.1006003)"
Charles & Boylston St (Next to Boloco),"(42.35235794, -71.06729599)"
Charles Circle in front of CVS,"(42.36076893, -71.07051928)"
Charlestown Bridge & Commercial Street,"(42.36744028, -71.05869184)"
Chestnut Hill Ave and Sutherland Rd,"(42.33630431, -71.15095793)"
Christopher Columbus Waterfront Park - Fountain,"(42.36108686, -71.05224626)"
Christopher Columbus Waterfront Park - Harborwalk @ bottom of stairs,"(42.36122148, -71.05082516)"
Christopher Columbus Waterfront Park - Harborwalk @ split,"(42.3616245, -71.05084789)"
Christopher Columbus Waterfront Park - ParkPath Intersection,"(42.36078913, -71.05160142)"
Clarendon and Tremont St,"(42.3439099, -71.07181175)"
Clinton and North St opposite the Millennium Hotel,"(42.3607261, -71.0558865)"
Clinton St & Surface Rd (north market entrance),"(42.36073708, -71.05372501)"
Clinton St and Surface Rd,"(42.3608169, -71.0537068)"
Columbia and Washington,
Columbia and Washington,
Columbus & Berkeley (NW Corner),"(42.35010485, -71.0701223)"
Columbus @ Chandler,"(42.34603, -71.07507)"
Columbus @ Claredon,"(42.3472534, -71.0735185)"
Columbus @ Clarendon,"(42.3471, -71.07368)"
Columbus @ Dartmouth st.,"(42.34604, -71.07515)"
Comm Ave (East) Bus Stop at Carlton St / Next to Parking Lot,"(42.3500784, -71.10859829)"
"Commercial and Prince St. ""Parking garage entrance""","(42.3654997, -71.0559562)"
Common at Beacon and Spruce,"(42.35643833, -71.06752667)"
Commons - Boston Massacre Memorial,"(42.35450667, -71.06409167)"
Commons Freedom Trail - on Tremont across from Lamberts,"(42.35564083, -71.06299405)"
Commons Freedom Trail - on Tremont across from UBurger,"(42.35593427, -71.06287916)"
Commons Freedom Trail near visitors center loop,"(42.35538867, -71.06331657)"
Commons T Entrance @ Tremont & Park St.,"(42.35632443, -71.0626422)"
Commons: Beacon St. & Joy St.,"(42.35703333, -71.06491167)"
Commons: Beacon St. NE Corner,"(42.35742333, -71.06362667)"
Commons: Beacon St. North of Frog Pond,"(42.35662833, -71.06665333)"
Commons: Boylston Station,"(42.35306667, -71.064555)"
Commons: Charles St. & Beacon St.,"(42.35627, -71.06838333)"
Commons: Charles St. East Side Middle,"(42.35451333, -71.06823833)"
Commons: Charles St. East Side South End,"(42.35291667, -71.06741833)"
Commons: Charles St. North West of Baseball Field,"(42.354625, -71.06836)"
Commons: East of Bandstand,"(42.35438833, -71.06486333)"
Commons: East of Frog Pond,"(42.35605333, -71.06487)"
Commons: East of Tennis Court,"(42.35363667, -71.06564833)"
Commons: East of Visitors Center,"(42.35528333, -71.06370667)"
Commons: Frog Pond,"(42.35632333, -71.06453)"
Commons: North of Visitors Center,"(42.35584, -71.06412667)"
Commons: Park St. & Tremont,"(42.35647167, -71.062335)"
Commons: Park St. & Tremont East of T Station,"(42.35660539, -71.06243178)"
Commons: Parkman Bandstand,"(42.35416167, -71.06604)"
Commons: South East of Frog Pond,"(42.355625, -71.06481333)"
Commons: South East of Tennis Courts,"(42.35342, -71.06528833)"
Commons: Tremont St. By T Station,"(42.35600333, -71.06286)"
Commonweath Ave and Harvard (opp side of McDonald's),"(42.35019012, -71.13069301)"
Commonweath Ave and St Thomas More St,"(42.33981172, -71.16644354)"
Condor & Glendon,"(42.38239415, -71.03000741)"
Congress & Sudbury St (Parking Garage),"(42.36248633, -71.05810883)"
Congress St (opp Fanieul Hall),"(42.35993737, -71.05730847)"
Congress St and Atlantic Ave (NE Corner),"(42.35365814, -71.05346427)"
Congress Street opp Hanover Street in front of the City Hall Plaza stairs,"(42.36143836, -71.057903)"
Corner of Beach & Harrison - Sovereign Bank,"(42.35139273, -71.0612938)"
Corner of Centre St & Lamatine St // Across from Jackson Square Train Station entrance,"(42.32271433, -71.10024625)"
Corner of Westland & Saint Stephen's at Mass Ave,"(42.34325304, -71.08602169)"
Court St and Court Square (opp BNY Mellon),"(42.35902394, -71.05845139)"
Cross and Cooper,"(42.36441414, -71.0581377)"
Cross and Salem Street (in front Goody Glovers Bistro),"(42.36300904, -71.05634037)"
Cross St at Stillmann St,"(42.36373863, -71.05749697)"
Dartmouth St & Stuart St (SE Corner),"(42.34820802, -71.07628189)"
Devonshire & Franklin St (Manpower Office),"(42.35532914, -71.0574748)"
Devonshire & Milk St (Opp 50 Milk St),"(42.35669392, -71.0574776)"
Devonshire & State - Boston Massacre Landmark,"(42.35883108, -71.05698941)"
Devonshire & Water St (Brown Brothers Harriman & Co),"(42.35764512, -71.05714629)"
Devonshire & Water St (T Station),"(42.3575052, -71.05738735)"
Devonshire St (Old State House),"(42.3586188, -71.05729207)"
E B Horne Washington st,"(42.35566, -71.06044)"
East Side of Ipswich - Shell gas station,"(42.34554096, -71.09537177)"
East side of Yawkey Way,
Edgerly Street and Westland (Whole Food Market),"(42.34370133, -71.08703302)"
Faneuil Hall entrance surface road,"(42.36010947, -71.05303455)"
Federal & Federal Ct (Boloco Resturaunt),"(42.35456083, -71.0564146)"
Federal & High St (American Express),"(42.35373306, -71.05605263)"
Franklin & Arch @ Parking Garage,"(42.35552807, -71.0582085)"
Franklin & Federal St (Bank of America),"(42.35539818, -71.05639858)"
Franklin & Oliver St (David Instant Shoe Repair),"(42.35661106, -71.05403923)"
Franklin & Pearl St (Opp 1 Federal),"(42.35618674, -71.05483124)"
Franklin St & Congress St (Opp Corner from Leventhal Park),"(42.35552402, -71.05575267)"
Franklin St & Hawley St,
Game on. SE Brookline and Landsdowne,"(42.34705826, -71.09857433)"
Glenville Tr and Harvard Ave,"(42.3511566, -71.1314505)"
Hanover & Congress St (Across City Hall Plaza),"(42.36169421, -71.05753524)"
Hanover & Cross (SE Corner),"(42.36259605, -71.05557649)"
Hanover and Cross St (Citizen Bank),"(42.36269134, -71.05586617)"
Harrison Ave. @ E.Springfield St.,"(42.33543531, -71.0745811)"
Harrison Ave. @ Plympton (Police station),"(42.33963858, -71.06925957)"
Harvard Ave and Comm Ave (McDonald's),"(42.35060501, -71.13099073)"
Haymarket Square & John F Fitzgerald Surface Road,"(42.36281017, -71.05779307)"
Hemenway and Westland St (NE Corner),"(42.34400844, -71.08980028)"
Hemenway and Westland St (SE Corner),"(42.3438776, -71.08983783)"
High & Summer (Sovereign Bank),"(42.35314697, -71.05697949)"
Huntington & Ruggles / Wentworth Institute of Tech,"(42.33754152, -71.09545056)"
Huntington and Dartmouth St (Library),"(42.34932688, -71.07701842)"
Huntington at Blogden (Opposite from Boston Public Library near Mass Pike Entrance),"(42.34906712, -71.07752406)"
Huntington Ave & Tremont Street,"(42.33412562, -71.10452375)"
Huntington Ave & West Newtown Street,"(42.34537532, -71.08157627)"
Huntington Ave (Eastbound) & Parker Street // Next to Punter's Pub,"(42.33881924, -71.09238968)"
Huntington Ave (West) at Mass Ave (North),"(42.34298648, -71.08495977)"
Huntington Ave (Westbound) at Forsyth Way (Across from Parker Street),"(42.33928252, -71.09202376)"
Huntington Ave Westbound @ Longwood,"(42.33599721, -71.1003576)"
Huntington Avenue & Fenwood Street,"(42.33376282, -71.1056764)"
Huntington Eastbound @ Longwood,"(42.33576183, -71.10019597)"
Hynes T Stop on Mass Ave. between Newbury St. & Boylston St,"(42.3478826, -71.08797362)"
India St and Surface Rd,"(42.3578047, -71.051912)"
Intersection of Chauncey,
Ipswich & Van Ness @ Fenway Gate B,"(42.34624194, -71.09555329)"
Ipswich and Landsdown St @ Ipswich Garage,"(42.34694984, -71.094463)"
Irving and Cambridge in front of starbucks,"(42.36108294, -71.0664854)"
J Hook side of the North Ave Bridge,"(42.35492615, -71.05044773)"
Kilmarnock and Van Ness (@ Parking Garage Exit),"(42.3446846, -71.1004911)"
Kneeland & Harrison - Wai's Restaurant,"(42.3507294, -71.06157001)"
Kneeland and Surface Rd,"(42.35028728, -71.05995168)"
Last noted at Forest Hills Cemetery-Not there now Location Unkown,"(42.2938618, -71.09465687)"
Lincoln & Summer St (GNC Entrance),"(42.35356517, -71.05799063)"
Lincoln and Kneeland (World Journal Chinese Daily),"(42.35011319, -71.05873493)"
Lincoln and Tufts,"(42.35102668, -71.05911331)"
Lincoln St and Surface Rd (opp T- mobile),"(42.35217444, -71.05812794)"
Lincoln Street and Surface Rd,"(42.35224452, -71.05850881)"
Marginal St and Tremont St,"(42.34811436, -71.06802523)"
Mass Ave North at St Stephens (Across from Symphony),"(42.3435041, -71.0857301)"
Mass Ave Northbound & Tremont Street (Bus Stop),"(42.33951022, -71.08044087)"
Mass Ave Northbound @ St Botolph Street,"(42.34237021, -71.0841913)"
Mass Ave South at Comm Ave Overpass,"(42.34915125, -71.0887775)"
Mass Ave. @ Beacon Northbound,"(42.35083018, -71.08942683)"
Mass Ave. @ Marlborough,"(42.34997374, -71.08915132)"
McKinley & State St (Aquarium T Stop),"(42.35930243, -71.05320261)"
Milk & Batterymarch St,"(42.35776634, -71.05441481)"
